word,ud_test_head,ud_test_deprel,ud_preds_head,ud_preds_deprel,str_test_head,str_test_deprel,str_preds_head,str_preds_deprel,ellipsis
на,7,case,7,case,5,1-компл,5,1-компл,0
мнение,5,obl,5,obl,6,предл,6,предл,0
нескольких,9,nummod,9,nummod,9,количест,9,количест,0
экспертов,7,nmod,7,nmod,7,квазиагент,7,квазиагент,0
или,25,cc,25,cc,6,сочин,6,сочин,0
",",10,punct,10,punct,10,punct,10,punct,0
хуже,25,parataxis,25,parataxis,23,вводн,10,соч-союзн,0
того,12,obl,12,obl,12,сравнит,12,сравнит,0
",",12,punct,17,punct,12,punct,17,punct,0
как,17,mark,17,mark,23,вводн,12,сравнит,0
в,17,case,17,case,15,сравн-союзн,15,сравн-союзн,0
случае,25,parataxis,12,obl,16,предл,16,предл,0
с,19,case,19,case,17,атриб,17,атриб,0
хейлсом,17,nmod,17,nmod,18,предл,18,предл,0
",",17,punct,12,punct,17,punct,12,punct,0
фактически,25,obl,25,obl,23,огранич,22,огранич,0
только,25,advmod,25,advmod,23,огранич,23,огранич,0
на,25,case,25,case,10,соч-союзн,10,соч-союзн,0
самого,25,amod,25,amod,25,опред,25,опред,0
автора,7,conj,7,conj,23,предл,23,предл,0
.,4,punct,4,punct,4,punct,4,punct,0
идет,0,root,0,root,0,root,0,root,0
широкомасштабное,3,amod,3,amod,3,опред,3,опред,0
закрытие,1,nsubj,1,nsubj,1,предик,1,предик,0
школ,3,nmod,3,nmod,3,1-компл,3,1-компл,0
",",11,punct,11,punct,11,punct,11,punct,0
в,7,case,7,case,11,обст,11,обст,0
результате,11,obl,11,obl,6,предл,6,предл,0
чего,7,nmod,7,nmod,7,квазиагент,7,квазиагент,0
дефицит,11,nsubj,11,nsubj,11,предик,11,предик,0
учителей,9,nmod,9,nmod,9,квазиагент,9,квазиагент,0
сменился,1,parataxis,1,parataxis,1,изъясн,1,изъясн,0
их,13,det,13,det,13,квазиагент,13,квазиагент,0
переизбытком,11,obl,11,obl,11,2-компл,11,1-компл,0
.,1,punct,1,punct,1,punct,1,punct,0
и,2,cc,2,cc,0,root,0,root,0
выразил,0,root,0,root,1,соч-союзн,1,соч-союзн,0
одобрение,2,obj,2,obj,2,1-компл,2,1-компл,0
действиям,3,nmod,2,iobj,3,1-компл,2,2-компл,0
правительства,4,nmod,4,nmod,4,квазиагент,4,квазиагент,0
и,7,cc,7,cc,5,сочин,5,сочин,0
центробанка,5,conj,5,conj,6,соч-союзн,6,соч-союзн,0
.,2,punct,2,punct,2,punct,2,punct,0
хорошо,2,advmod,2,advmod,2,обст,2,обст,0
помню,0,root,0,root,0,root,0,root,0
эту,4,det,4,det,4,опред,4,опред,0
шубу,2,obj,2,obj,2,1-компл,2,1-компл,0
",",10,punct,10,punct,10,punct,10,punct,0
вернее,10,parataxis,10,parataxis,10,вводн,10,вводн,0
",",6,punct,6,punct,6,punct,6,punct,0
ее,10,nmod,10,det,10,1-компл,10,1-компл,0
дальнейшие,10,amod,10,amod,10,опред,10,опред,0
трансформации,4,conj,4,conj,4,сочин,4,сочин,0
в,13,case,13,case,10,атриб,10,атриб,0
нашей,13,det,13,det,13,опред,13,опред,0
семье,10,nmod,10,nmod,11,предл,11,предл,0
.,2,punct,2,punct,2,punct,2,punct,0
и,9,cc,9,cc,0,root,0,root,0
такое,3,det,3,det,3,опред,3,опред,0
замещение,9,nsubj,9,nsubj,9,предик,9,предик,0
или,5,cc,5,cc,3,сочин,3,сочин,0
совмещение,3,conj,3,conj,4,соч-союзн,4,соч-союзн,0
нового,5,obl,5,nmod,5,1-компл,5,1-компл,0
и,8,cc,8,cc,6,сочин,6,сочин,0
старого,6,conj,6,conj,7,соч-союзн,7,соч-союзн,0
происходит,0,root,0,root,1,соч-союзн,1,соч-союзн,0
во,12,case,12,case,9,1-компл,9,1-компл,0
многих,12,amod,12,amod,12,опред,12,опред,0
странах,9,obl,9,obl,10,предл,10,предл,0
.,9,punct,9,punct,9,punct,9,punct,0
он,3,nsubj,3,nsubj,3,предик,3,предик,0
-,1,punct,1,punct,1,punct,1,punct,0
бог,0,root,0,root,0,root,0,root,0
",",7,punct,7,punct,7,punct,7,punct,0
ибо,7,mark,7,mark,3,обст,3,обст,0
человек,7,nsubj:pass,7,nsubj:pass,7,предик,7,предик,0
создан,3,advcl,3,advcl,5,подч-союзн,5,подч-союзн,0
по,9,case,9,case,7,обст,7,обст,0
образу,7,obl,7,obl,8,предл,8,предл,0
и,11,cc,11,cc,9,сочин,9,сочин,0
подобию,9,conj,9,conj,10,соч-союзн,10,соч-союзн,0
божию,11,amod,11,amod,11,опред,11,опред,0
.,3,punct,3,punct,3,punct,3,punct,0
не,2,advmod,2,advmod,2,огранич,2,огранич,0
предавайся,0,root,0,root,0,root,0,root,0
иллюзиям,2,iobj,2,iobj,2,1-компл,2,1-компл,0
-,8,punct,8,punct,8,punct,3,punct,0
принципиально,6,obl,6,obl,6,огранич,6,огранич,0
нового,8,obl,8,obl,8,1-компл,8,1-компл,0
не,8,advmod,8,advmod,8,огранич,8,огранич,0
получишь,2,parataxis,2,parataxis,2,разъяснит,2,разъяснит,0
",",14,punct,14,punct,14,punct,14,punct,0
а,14,cc,14,cc,8,сочин,8,сочин,0
на,12,case,12,case,14,обст,14,обст,0
посту,14,obl,14,obl,11,предл,11,предл,0
директора,12,nmod,12,nmod,12,1-компл,12,квазиагент,0
сделаешь,8,conj,8,conj,10,соч-союзн,10,соч-союзн,0
еще,17,obl,16,advmod,17,огранич,16,огранич,0
очень,17,obl,17,obl,17,огранич,17,огранич,0
многое,14,obj,14,obj,14,1-компл,14,1-компл,0
:,20,punct,20,punct,20,punct,20,punct,0
молодежь,20,obj,20,obj,20,1-компл,20,1-компл,0
привлечешь,17,parataxis,17,parataxis,17,разъяснит,17,разъяснит,0
",",24,punct,24,punct,24,punct,24,punct,0
новые,23,amod,23,amod,23,опред,23,опред,0
проекты,25,obj,25,obj,25,1-компл,25,1-компл,0
сможешь,20,conj,20,conj,20,сочин,20,сочин,0
осуществить,24,xcomp,24,xcomp,24,1-компл,24,1-компл,0
.,25,punct,25,punct,25,punct,25,punct,0
"""",2,punct,2,punct,2,punct,2,punct,0
в,2,case,2,case,6,обст,6,обст,0
ответ,6,obl,6,obl,1,предл,1,предл,0
на,5,case,5,case,2,2-компл,2,3-компл,0
социальное,5,amod,5,amod,5,опред,5,опред,0
недовольство,2,nmod,2,nmod,3,предл,3,предл,0
назначат,0,root,0,root,0,root,0,root,0
главного,8,amod,8,amod,8,опред,8,опред,0
виноватого,6,obj,6,obj,6,1-компл,6,1-компл,0
.,6,punct,6,punct,6,punct,6,punct,0
вероятно,6,parataxis,6,parataxis,6,вводн,6,вводн,0
",",1,punct,1,punct,1,punct,1,punct,0
в,4,case,4,case,6,1-компл,6,1-компл,0
том,6,obl,6,obl,3,предл,3,предл,0
и,6,advmod,6,advmod,6,огранич,6,огранич,0
заключается,0,root,0,root,0,root,0,root,0
сверхзадача,6,nsubj,6,nsubj,6,предик,6,предик,0
российского,9,amod,9,amod,9,опред,9,опред,0
руководства,7,nmod,7,nmod,7,квазиагент,7,квазиагент,0
",",13,punct,13,punct,13,punct,13,punct,0
чтобы,13,mark,13,mark,6,обст,6,обст,0
не,13,advmod,13,advmod,13,огранич,13,огранич,0
отдавать,6,advcl,6,advcl,11,инф-союзн,11,инф-союзн,0
в,15,case,15,case,13,обст,13,4-компл,0
польшу,13,obl,13,obl,14,предл,14,предл,0
юридически,17,advmod,17,advmod,17,атриб,17,атриб,0
значимые,22,acl,22,acl,22,опред,22,опред,0
и,19,cc,19,cc,17,сочин,17,сочин,0
имеющие,17,conj,17,conj,18,соч-союзн,18,соч-союзн,0
доказательную,21,amod,21,amod,21,опред,21,опред,0
силу,19,obj,19,obj,19,1-компл,19,1-компл,0
документы,13,obj,13,obj,13,1-компл,13,1-компл,0
",",25,punct,25,punct,25,punct,25,punct,0
а,25,cc,25,cc,13,сочин,13,сочин,0
признавать,13,conj,13,conj,24,соч-союзн,24,соч-союзн,0
ответственность,25,obj,25,obj,25,1-компл,25,1-компл,0
за,29,case,29,case,26,1-компл,26,1-компл,0
катынское,29,amod,29,amod,29,опред,29,опред,0
преступление,26,nmod,26,nmod,27,предл,27,предл,0
лишь,32,advmod,32,advmod,31,огранич,31,огранич,0
на,32,case,32,case,25,обст,25,обст,0
словах,25,obl,25,obl,31,предл,31,предл,0
.,6,punct,6,punct,6,punct,6,punct,0
возможно,4,parataxis,4,parataxis,4,вводн,4,вводн,0
",",1,punct,1,punct,1,punct,1,punct,0
выбор,4,obj,4,obj,4,1-компл,4,1-компл,0
определило,0,root,0,root,0,root,0,root,0
следующее,6,amod,6,amod,6,опред,6,опред,0
обстоятельство,4,nsubj,4,nsubj,4,предик,4,предик,0
.,4,punct,4,punct,4,punct,4,punct,0
в,3,case,3,case,8,обст,8,обст,0
последние,3,amod,3,amod,3,опред,3,опред,0
годы,8,obl,8,obl,1,предл,1,предл,0
обновления,3,nmod,3,nmod,3,квазиагент,3,квазиагент,0
нашей,6,det,6,det,6,опред,6,опред,0
жизни,4,nmod,4,nmod,4,1-компл,4,квазиагент,0
мне,8,iobj,8,iobj,8,1-компл,8,1-компл,0
приходилось,0,root,0,root,0,root,0,root,0
слышать,8,csubj,8,csubj,8,предик,8,предик,0
множество,9,obj,9,obj,9,1-компл,9,1-компл,0
ораторов,10,nmod,10,nmod,10,квазиагент,10,квазиагент,0
",",13,punct,13,punct,13,punct,13,punct,0
выступавших,11,acl,11,acl,11,опред,11,опред,0
на,17,case,17,case,13,2-компл,13,обст,0
различных,17,amod,17,amod,17,опред,17,опред,0
партийных,17,amod,17,amod,17,опред,17,опред,0
мероприятиях,13,obl,13,obl,14,предл,14,предл,0
в,19,case,19,case,13,обст,17,атриб,0
карелии,13,obl,17,nmod,18,предл,18,предл,0
.,8,punct,8,punct,8,punct,8,punct,0
моя,2,det,2,det,2,опред,2,опред,0
смерть,3,nsubj,3,nsubj,3,предик,3,предик,0
докажет,0,root,0,root,0,root,0,root,0
",",9,punct,9,punct,9,punct,9,punct,0
что,9,mark,9,mark,3,1-компл,3,1-компл,0
учение,9,nsubj,9,nsubj,9,предик,9,предик,0
о,8,case,8,case,6,1-компл,6,1-компл,0
сифилизации,6,nmod,6,nmod,7,предл,7,предл,0
является,3,ccomp,3,ccomp,5,подч-союзн,5,подч-союзн,0
ужасным,11,amod,11,amod,11,опред,11,опред,0
заблуждением,9,obl,9,obl,9,1-компл,9,1-компл,0
",",14,punct,14,punct,14,punct,14,punct,0
и,14,cc,14,cc,3,сочин,3,сочин,0
предотвратит,3,conj,3,conj,13,соч-союзн,13,соч-союзн,0
новые,16,amod,16,amod,16,опред,16,опред,0
несчастья,14,obj,14,obj,14,1-компл,14,1-компл,0
"""",16,punct,16,punct,16,punct,16,punct,0
.,3,punct,3,punct,3,punct,3,punct,0
борис,0,root,0,root,0,root,0,root,0
иомдин,1,flat:name,1,flat:name,1,аппоз,1,аппоз,0
.,1,punct,1,punct,1,punct,1,punct,0
во,2,case,2,case,0,root,0,root,0
власти,0,root,0,root,1,предл,1,предл,0
ответственных,5,amod,5,amod,5,опред,5,опред,0
западных,5,amod,5,amod,5,опред,5,опред,0
политиков,2,nmod,2,nmod,2,квазиагент,2,квазиагент,0
-,5,punct,7,punct,5,punct,7,punct,0
санкции,2,nsubj,2,nsubj,1,предик,1,предик,0
и,9,cc,9,cc,7,сочин,7,сочин,0
непризнание,7,conj,7,conj,8,соч-союзн,8,соч-союзн,0
ни,11,cc,11,cc,14,соотнос,14,соотнос,0
раздела,9,nmod,9,nmod,9,1-компл,9,1-компл,0
украины,11,nmod,11,nmod,11,1-компл,11,1-компл,0
",",15,punct,15,punct,15,punct,15,punct,0
ни,15,cc,15,cc,11,сочин,11,сочин,0
условий,11,conj,11,conj,14,соч-союзн,14,соч-союзн,0
",",17,punct,17,punct,17,punct,17,punct,0
ущемляющих,15,acl,15,acl,15,опред,15,опред,0
ее,19,det,19,det,19,квазиагент,19,квазиагент,0
суверенитет,17,obj,17,obj,17,1-компл,17,1-компл,0
.,2,punct,2,punct,2,punct,2,punct,0
первый,2,amod,2,amod,2,опред,2,опред,0
чемпионат,3,nsubj:pass,3,nsubj:pass,3,предик,3,предик,0
завершен,0,root,0,root,0,root,0,root,0
.,3,punct,3,punct,3,punct,3,punct,0
потребность,7,nsubj:pass,7,nsubj:pass,7,предик,7,предик,0
в,3,case,3,case,1,1-компл,1,1-компл,0
них,1,nmod,1,nmod,2,предл,2,предл,0
по,5,case,5,case,1,атриб,1,1-компл,0
республике,1,nmod,7,obl,4,предл,4,предл,0
полностью,7,advmod,7,advmod,7,колич-огран,7,обст,0
удовлетворена,0,root,0,root,0,root,0,root,0
.,7,punct,7,punct,7,punct,7,punct,0
изменения,4,nsubj,4,nsubj,4,предик,4,предик,0
в,3,case,3,case,1,1-компл,1,атриб,0
пакистане,1,nmod,1,nmod,2,предл,2,предл,0
отразились,0,root,0,root,0,root,0,root,0
на,6,case,6,case,4,2-компл,4,1-компл,0
ситуации,4,obl,4,obl,5,предл,5,предл,0
в,8,case,8,case,6,1-компл,6,1-компл,0
джамму,6,nmod,6,nmod,7,предл,7,предл,0
и,10,cc,10,cc,8,сочин,8,сочин,0
кашмире,8,conj,8,conj,9,соч-союзн,9,соч-союзн,0
.,4,punct,4,punct,4,punct,4,punct,0
как,2,mark,2,mark,19,вводн,19,вводн,0
сообщили,19,parataxis,19,parataxis,1,сравн-союзн,1,сравн-союзн,0
в,4,case,4,case,2,обст,2,обст,0
отделе,2,obl,2,obl,3,предл,3,предл,0
информации,4,nmod,4,nmod,4,1-компл,4,1-компл,0
и,7,cc,7,cc,5,сочин,5,сочин,0
пропаганды,5,conj,5,conj,6,соч-союзн,6,соч-союзн,0
гибдд,4,nmod,7,nmod,4,квазиагент,4,квазиагент,0
гувд,8,nmod,8,nmod,8,атриб,4,атриб,0
москвы,9,nmod,9,nmod,9,квазиагент,9,квазиагент,0
",",2,punct,2,punct,2,punct,2,punct,0
в,13,case,13,case,19,обст,19,обст,0
ночь,19,obl,19,obl,12,предл,12,предл,0
на,15,case,15,case,13,атриб,13,атриб,0
среду,13,nmod,13,nmod,14,предл,14,предл,0
в,17,case,17,case,19,обст,19,обст,0
регионе,19,obl,19,obl,16,предл,16,предл,0
"""",19,punct,19,punct,19,punct,19,punct,0
подморозило,0,root,0,root,0,root,0,root,0
"""",19,punct,19,punct,19,punct,19,punct,0
и,23,cc,23,cc,19,сент-соч,19,сент-соч,0
дороги,23,nsubj,23,nsubj,23,предик,23,предик,0
покрылись,19,conj,19,conj,21,соч-союзн,21,соч-союзн,0
ледяной,25,amod,25,amod,25,опред,25,опред,0
коркой,23,obl,23,obl,23,1-компл,23,1-компл,0
",",29,punct,29,punct,29,punct,29,punct,0
что,29,nsubj,29,nsubj,29,предик,29,предик,0
крайне,29,obl,29,obl,29,огранич,29,огранич,0
опасно,23,parataxis,23,parataxis,23,изъясн,23,изъясн,0
для,31,case,31,case,29,1-компл,29,1-компл,0
вождения,29,obl,29,obl,30,предл,30,предл,0
.,19,punct,19,punct,19,punct,19,punct,0
официальный,2,amod,2,amod,2,опред,2,опред,0
путь,6,nsubj,6,nsubj,6,предик,6,предик,0
поиска,2,nmod,2,nmod,2,квазиагент,2,1-компл,0
истины,3,nmod,3,nmod,3,1-компл,3,1-компл,0
здесь,6,advmod,6,advmod,6,обст,6,обст,0
такой,0,root,0,root,0,root,0,root,0
:,8,punct,8,punct,8,punct,8,punct,0
существуют,6,parataxis,6,parataxis,6,разъяснит,6,разъяснит,0
планы,8,nsubj,8,nsubj,8,предик,8,предик,0
московского,11,amod,11,amod,11,опред,11,опред,0
правительства,9,nmod,9,nmod,9,квазиагент,9,квазиагент,0
на,13,case,13,case,9,1-компл,9,1-компл,0
реконструкцию,9,nmod,9,nmod,12,предл,12,предл,0
до,16,case,16,case,9,атриб,13,атриб,0
2010,16,amod,16,amod,16,опред,16,опред,0
г,9,nmod,9,nmod,14,предл,14,предл,0
.,16,punct,16,punct,16,punct,16,punct,0
",",32,punct,32,punct,32,punct,32,punct,0
и,32,cc,32,cc,8,сент-соч,8,сент-соч,0
информацию,33,obj,33,obj,33,1-компл,33,1-компл,0
о,22,case,22,case,20,1-компл,20,1-компл,0
том,20,nmod,20,nmod,21,предл,21,предл,0
",",24,punct,24,punct,24,punct,24,punct,0
значится,22,acl,22,acl,22,эксплет,22,эксплет,0
ли,24,advmod,24,advmod,24,огранич,24,огранич,0
данное,27,amod,27,amod,27,опред,27,опред,0
строение,24,nsubj,24,nsubj,24,предик,24,предик,0
в,30,case,30,case,24,2-компл,24,1-компл,0
этих,30,det,30,det,30,опред,30,опред,0
списках,24,obl,24,obl,28,предл,28,предл,0
",",20,punct,20,punct,20,punct,20,punct,0
можно,8,conj,8,conj,19,соч-союзн,19,соч-союзн,0
получить,32,csubj,32,csubj,32,предик,32,предик,0
в,36,case,36,case,33,обст,33,обст,0
районной,36,amod,36,amod,36,опред,36,опред,0
управе,33,obl,33,obl,34,предл,34,предл,0
.,6,punct,6,punct,6,punct,6,punct,0
какой,2,det,2,det,2,опред,2,опред,0
смысл,0,root,11,obj,0,root,0,root,0
власти,2,nmod,2,nmod,2,неакт-компл,2,квазиагент,0
ради,7,case,7,case,11,обст,11,обст,0
этих,7,det,6,det,7,опред,7,опред,0
нескольких,7,nummod,7,nummod,7,количест,7,количест,0
мандатов,11,obl,11,obl,4,предл,4,предл,0
вас,11,obj,11,obj,11,1-компл,11,1-компл,0
так,10,advmod,10,advmod,10,огранич,10,огранич,0
яростно,11,advmod,11,advmod,11,обст,11,обст,0
душить,2,acl,0,root,2,квазиагент,2,предик,0
?,2,punct,11,punct,2,punct,2,punct,0
невозможно,0,root,0,root,0,root,0,root,0
излагать,1,csubj,1,csubj,1,предик,1,предик,0
тут,2,advmod,2,advmod,2,обст,2,обст,0
все,8,det,8,det,8,опред,8,опред,0
следственно,7,compound,7,compound,7,композ,7,композ,0
-,5,punct,5,punct,5,punct,5,punct,0
судебные,8,amod,8,amod,8,опред,8,опред,0
перипетии,2,obj,2,obj,2,1-компл,2,1-компл,0
"""",10,punct,10,punct,10,punct,10,punct,0
дуплета,8,nmod,8,nmod,8,квазиагент,8,квазиагент,0
"""",10,punct,10,punct,10,punct,10,punct,0
дел,10,nmod,10,nmod,10,квазиагент,10,квазиагент,0
",",18,punct,18,punct,18,punct,18,punct,0
по,15,case,15,case,18,1-компл,18,обст,0
которым,18,obl,18,obl,14,предл,14,предл,0
красной,17,amod,17,amod,17,опред,17,опред,0
нитью,18,obl,18,obl,18,обст,18,обст,0
проходит,12,acl:relcl,12,acl:relcl,12,релят,12,релят,0
сафронов,18,nsubj,18,nsubj,18,предик,18,предик,0
",",23,punct,23,punct,23,punct,23,punct,0
-,23,punct,23,punct,23,punct,23,punct,0
в,23,case,23,case,18,сент-соч,1,разъяснит,0
них,18,conj,1,parataxis,22,предл,22,предл,0
28,25,nummod,25,nummod,25,количест,25,количест,0
томов,23,nsubj,23,nsubj,22,предик,22,предик,0
и,31,cc,31,cc,25,сочин,25,сочин,0
12,30,nummod,30,nummod,30,количест,30,количест,0
с,29,case,29,case,27,атриб,27,атриб,0
лишним,27,obl,27,obl,28,предл,28,предл,0
тысяч,31,nummod,31,nummod,26,соч-союзн,26,соч-союзн,0
страниц,25,conj,25,conj,30,квазиагент,30,квазиагент,0
.,1,punct,1,punct,1,punct,1,punct,0
когда,3,mark,3,mark,9,обст,9,обст,0
политик,3,nsubj,3,nsubj,3,предик,3,предик,0
ищет,9,advcl,9,advcl,1,подч-союзн,1,подч-союзн,0
защиту,3,obj,3,obj,3,1-компл,3,1-компл,0
посреди,6,case,6,case,3,2-компл,3,обст,0
кризиса,3,obl,3,obl,5,предл,5,предл,0
",",3,punct,3,punct,3,punct,3,punct,0
он,9,nsubj,9,nsubj,9,предик,9,предик,0
начинает,0,root,0,root,0,root,0,root,0
убивать,9,xcomp,9,xcomp,9,1-компл,9,1-компл,0
.,9,punct,9,punct,9,punct,9,punct,0
создавая,6,advcl,6,advcl,6,обст,6,обст,0
же,1,advmod,1,advmod,1,огранич,1,огранич,0
бэби-боксы,1,obj,1,obj,1,1-компл,1,1-компл,0
",",1,punct,1,punct,1,punct,1,punct,0
мы,6,nsubj,6,nsubj,6,предик,6,предик,0
капитализируем,0,root,0,root,0,root,0,root,0
ребенка,6,obj,6,obj,6,1-компл,6,1-компл,0
",",9,punct,9,punct,9,punct,9,punct,0
делаем,6,conj,6,conj,6,сочин,6,сочин,0
его,9,obj,9,obj,9,1-компл,9,1-компл,0
объектом,9,xcomp,9,xcomp,9,2-компл,9,2-компл,0
.,6,punct,6,punct,6,punct,6,punct,0
назревающей,3,amod,3,amod,3,опред,3,опред,0
новой,3,amod,3,amod,3,опред,3,опред,0
эре,4,iobj,4,iobj,4,1-компл,4,1-компл,0
предстоит,0,root,0,root,0,root,0,root,0
со,7,case,7,case,8,1-компл,8,1-компл,0
всем,7,det,8,obl,7,опред,7,опред,0
этим,8,obl,8,obl,5,предл,5,предл,0
разбираться,4,csubj,4,csubj,4,предик,4,предик,0
",",8,punct,22,punct,8,punct,22,punct,0
пандемия,22,nsubj,22,nsubj,22,предик,22,предик,0
",",10,punct,13,punct,10,punct,13,punct,0
не,13,advmod,13,advmod,13,огранич,13,огранич,0
страшнее,10,obl,10,amod,10,атриб,10,атриб,0
чумы,13,obl,13,obl,13,сравнит,13,сравнит,0
и,16,cc,16,cc,14,сочин,14,сочин,0
испанки,14,conj,14,conj,15,соч-союзн,15,соч-союзн,0
",",16,punct,10,punct,16,punct,10,punct,0
тем,22,parataxis,22,discourse,22,вводн,22,вводн,0
не,18,fixed,18,fixed,18,вспом,18,вспом,0
менее,18,fixed,18,fixed,19,вспом,19,вспом,0
",",22,punct,18,punct,22,punct,18,punct,0
станет,4,conj,4,conj,4,сент-соч,4,сент-соч,0
ее,24,det,24,det,24,атриб,24,1-компл,0
детонатором,22,xcomp,22,obl,22,присвяз,22,присвяз,0
.,4,punct,4,punct,4,punct,4,punct,0
условие,3,nsubj:pass,3,nsubj:pass,2,предик,2,предик,0
было,3,aux:pass,3,aux:pass,0,root,0,root,0
принято,0,root,0,root,2,пасс-анал,2,пасс-анал,0
",",9,punct,9,punct,9,punct,9,punct,0
и,9,cc,9,cc,2,сент-соч,2,сент-соч,0
на,7,case,7,case,9,обст,9,обст,0
территории,9,obl,9,obl,6,предл,6,предл,0
университета,7,nmod,7,nmod,7,квазиагент,7,квазиагент,0
выросло,3,conj,3,conj,5,соч-союзн,5,соч-союзн,0
здание,9,nsubj,9,nsubj,9,предик,9,предик,0
из,13,case,13,case,10,атриб,10,атриб,0
красного,13,amod,13,amod,13,опред,13,опред,0
кирпича,10,nmod,10,nmod,11,предл,11,предл,0
",",15,punct,15,punct,15,punct,15,punct,0
перекликающегося,13,acl,13,acl,13,опред,13,опред,0
с,17,case,17,case,15,1-компл,15,1-компл,0
цветом,15,obl,15,obl,16,предл,16,предл,0
горных,19,amod,19,amod,19,опред,19,опред,0
склонов,17,nmod,17,nmod,17,квазиагент,17,квазиагент,0
юты,19,nmod,19,nmod,19,атриб,19,квазиагент,0
",",20,punct,20,punct,20,punct,23,punct,0
в,23,case,23,case,10,атриб,10,атриб,0
форме,10,nmod,10,nmod,22,предл,22,предл,0
конуса,23,nmod,23,nmod,23,1-компл,23,1-компл,0
со,29,case,29,case,24,атриб,24,атриб,0
срезанной,29,acl,29,acl,29,опред,29,опред,0
наискосок,26,advmod,26,advmod,26,обст,26,обст,0
застекленной,29,amod,29,acl,29,опред,29,опред,0
крышей,24,nmod,24,nmod,25,предл,25,предл,0
",",33,punct,33,punct,33,punct,33,punct,0
под,32,case,32,case,33,1-компл,33,1-компл,0
которой,33,obl,33,obl,31,предл,31,предл,0
находился,29,acl:relcl,29,acl:relcl,29,релят,29,релят,0
читальный,35,amod,35,amod,35,опред,35,опред,0
зал,33,nsubj,33,nsubj,33,предик,33,предик,0
.,3,punct,3,punct,3,punct,3,punct,0
на,3,case,3,case,5,обст,5,обст,0
первом,3,amod,3,amod,3,опред,3,опред,0
курсе,5,obl,5,obl,1,предл,1,предл,0
это,5,nsubj,5,nsubj,5,предик,5,предик,0
казалось,0,root,0,root,0,root,0,root,0
чревато,5,obl,5,obl,5,присвяз,5,1-компл,0
.,5,punct,5,punct,5,punct,5,punct,0
научные,2,amod,2,amod,2,опред,2,опред,0
музеи,9,nsubj,9,nsubj,9,предик,9,предик,0
с,5,case,5,case,2,атриб,2,атриб,0
интерактивными,5,amod,5,amod,5,опред,5,опред,0
выставками,2,nmod,2,nmod,3,предл,3,предл,0
",",8,punct,8,punct,8,punct,8,punct,0
образовательные,8,amod,8,amod,8,опред,8,опред,0
путешествия,2,conj,2,conj,2,сочин,2,сочин,0
служат,0,root,0,root,0,root,0,root,0
дополнительным,11,amod,11,amod,11,опред,11,опред,0
ресурсом,9,obl,9,obl,9,1-компл,9,1-компл,0
для,13,case,13,case,11,1-компл,11,атриб,0
школы,11,nmod,11,nmod,12,предл,12,предл,0
",",15,punct,15,punct,15,punct,15,punct,0
желающей,13,acl,13,acl,13,опред,13,опред,0
встроить,15,xcomp,15,xcomp,15,1-компл,15,1-компл,0
их,16,obj,16,obj,16,1-компл,16,1-компл,0
в,21,case,21,case,16,2-компл,16,2-компл,0
свой,21,det,21,det,21,опред,21,опред,0
учебный,21,amod,21,amod,21,опред,21,опред,0
процесс,16,obl,16,obl,18,предл,18,предл,0
.,9,punct,9,punct,9,punct,9,punct,0
рискуя,5,advcl,5,advcl,5,обст,5,обст,0
прослыть,1,xcomp,1,xcomp,1,1-компл,1,1-компл,0
интеллигентом,2,obl,2,obl,2,1-компл,2,присвяз,0
",",1,punct,1,punct,1,punct,1,punct,0
признаюсь,0,root,0,root,0,root,0,root,0
",",12,punct,12,punct,12,punct,12,punct,0
что,12,mark,12,mark,5,1-компл,5,1-компл,0
я,12,nsubj,12,nsubj,12,предик,12,предик,0
их,12,obl,12,obj,12,1-компл,12,1-компл,0
тоже,12,advmod,12,advmod,12,огранич,12,огранич,0
не,12,advmod,12,advmod,12,огранич,12,огранич,0
смотрю,5,ccomp,5,ccomp,7,подч-союзн,7,подч-союзн,0
.,5,punct,5,punct,5,punct,5,punct,0
она,2,nsubj,2,nsubj,2,предик,2,предик,0
рассказала,0,root,0,root,0,root,0,root,0
",",5,punct,5,punct,5,punct,5,punct,0
что,5,mark,5,mark,2,1-компл,2,1-компл,0
подала,2,ccomp,2,ccomp,4,подч-союзн,4,подч-союзн,0
документы,5,obj,5,obj,5,1-компл,5,1-компл,0
о,8,case,8,case,6,1-компл,6,1-компл,0
выдвижении,6,nmod,6,nmod,7,предл,7,предл,0
7,5,obl,5,obl,5,обст,5,обст,0
июня,9,flat,9,flat,9,атриб,9,атриб,0
",",14,punct,14,punct,14,punct,14,punct,0
но,14,cc,14,cc,5,сочин,5,сочин,0
не,14,advmod,14,advmod,14,огранич,14,огранич,0
стала,5,conj,5,conj,12,соч-союзн,12,соч-союзн,0
сообщать,14,xcomp,14,xcomp,14,1-компл,14,1-компл,0
об,17,case,17,case,15,3-компл,15,3-компл,0
этом,15,obl,15,obl,16,предл,16,предл,0
.,2,punct,2,punct,2,punct,2,punct,0
маленькому,2,amod,2,amod,2,опред,2,опред,0
сэму,4,iobj,4,iobj,4,2-компл,4,2-компл,0
мама,4,nsubj,4,nsubj,4,предик,4,предик,0
дала,0,root,0,root,0,root,0,root,0
два,6,nummod:gov,6,nummod,6,количест,6,количест,0
доллара,4,obj,4,obl,4,1-компл,4,1-компл,0
непонятно,9,obl,4,advmod,8,огранич,8,огранич,0
